taxonID	vernacularName	language
alien-mollusca-checklist:taxon:d12eaa6884b549d249857519fca4a376	Maillot d'Italie	fr
alien-mollusca-checklist:taxon:d12eaa6884b549d249857519fca4a376	Maillot froment	fr
alien-mollusca-checklist:taxon:d3ea1d539ec9fcf46383a2b1d9886e54	Minute gem	en
alien-mollusca-checklist:taxon:d3ea1d539ec9fcf46383a2b1d9886e54	Falsche Scheibchenschnecke	de
alien-mollusca-checklist:taxon:f495dc25a44c6c3a0a310e23e15f71d5	Gekielde loofslak	nl
alien-mollusca-checklist:taxon:f495dc25a44c6c3a0a310e23e15f71d5	Hélice carénée	fr
alien-mollusca-checklist:taxon:f495dc25a44c6c3a0a310e23e15f71d5	Girdled snail	en
alien-mollusca-checklist:taxon:f495dc25a44c6c3a0a310e23e15f71d5	Kantige Laubschnecke	de
alien-mollusca-checklist:taxon:1960a04b83f2f90a2de8f9c955575049	Pastaslak	nl
alien-mollusca-checklist:taxon:1960a04b83f2f90a2de8f9c955575049	Escargot mourguéta	fr
alien-mollusca-checklist:taxon:1960a04b83f2f90a2de8f9c955575049	Chocolate-band snail	en
alien-mollusca-checklist:taxon:1960a04b83f2f90a2de8f9c955575049	Nudelschnecke	de
alien-mollusca-checklist:taxon:4f18c8c544a69fbb5d3b351aee6bd8c8	Duintolletje	nl
alien-mollusca-checklist:taxon:4f18c8c544a69fbb5d3b351aee6bd8c8	Escargotin cosmopolite	fr
alien-mollusca-checklist:taxon:4f18c8c544a69fbb5d3b351aee6bd8c8	Pinhead spot	en
alien-mollusca-checklist:taxon:4f18c8c544a69fbb5d3b351aee6bd8c8	Gerippte Punktschnecke	de
alien-mollusca-checklist:taxon:975a02ad362135b36d24c691aa7a83d9	Slanke kielnaaktslak	nl
alien-mollusca-checklist:taxon:975a02ad362135b36d24c691aa7a83d9	Pseudolimace hongroise	fr
alien-mollusca-checklist:taxon:975a02ad362135b36d24c691aa7a83d9	Limace souterraine	fr
alien-mollusca-checklist:taxon:975a02ad362135b36d24c691aa7a83d9	Budapest slug	en
alien-mollusca-checklist:taxon:975a02ad362135b36d24c691aa7a83d9	Budapest keeled slug	en
alien-mollusca-checklist:taxon:975a02ad362135b36d24c691aa7a83d9	Boden-Kielschnegel	de
alien-mollusca-checklist:taxon:b58a4fbf2481e23e725bc4100b953cc8	Gele kielnaaktslak	nl
alien-mollusca-checklist:taxon:b58a4fbf2481e23e725bc4100b953cc8	Pseudolimace atlantique	fr
alien-mollusca-checklist:taxon:b58a4fbf2481e23e725bc4100b953cc8	Keeled slug	en
alien-mollusca-checklist:taxon:b58a4fbf2481e23e725bc4100b953cc8	Gelblicher Kielschnegel	de
alien-mollusca-checklist:taxon:f2ef505870d28353c0af74488e4f63d3	(Gewone) Schildslak	nl
alien-mollusca-checklist:taxon:f2ef505870d28353c0af74488e4f63d3	Testacelle commune	fr
alien-mollusca-checklist:taxon:f2ef505870d28353c0af74488e4f63d3	Earshell slug	fr
alien-mollusca-checklist:taxon:f2ef505870d28353c0af74488e4f63d3	Shelled slug	fr
alien-mollusca-checklist:taxon:f2ef505870d28353c0af74488e4f63d3	Common shelled slug	en
alien-mollusca-checklist:taxon:f2ef505870d28353c0af74488e4f63d3	Graugelbe Rucksackschnecke	de
alien-mollusca-checklist:taxon:06528ea561737233003ecad5dab869a5	Zandslak	nl
alien-mollusca-checklist:taxon:06528ea561737233003ecad5dab869a5	Caragouille rosée	fr
alien-mollusca-checklist:taxon:06528ea561737233003ecad5dab869a5	Escargot des dunes	fr
alien-mollusca-checklist:taxon:06528ea561737233003ecad5dab869a5	White snail	en
alien-mollusca-checklist:taxon:06528ea561737233003ecad5dab869a5	White garden snail	en
alien-mollusca-checklist:taxon:06528ea561737233003ecad5dab869a5	Sandhill snail	en
alien-mollusca-checklist:taxon:06528ea561737233003ecad5dab869a5	Dünenschnecke	de
alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab	Sierlijke pyramideslak	nl
alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab	Troque élégante	fr
alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab	Top snail	en
alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab	elegant helicellid	en
alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab	Gekielte Heideschnecke	de
alien-mollusca-checklist:taxon:efc32aa8cb6f49901941f3c96ec75e78	Grote Duinslak	nl
alien-mollusca-checklist:taxon:efc32aa8cb6f49901941f3c96ec75e78	Grande caragouille	fr
alien-mollusca-checklist:taxon:efc32aa8cb6f49901941f3c96ec75e78	Große Heideschnecke	de
alien-mollusca-checklist:taxon:691d816e96b0f17eb16385bf9ecf03ad	Bulime zébré	fr
alien-mollusca-checklist:taxon:691d816e96b0f17eb16385bf9ecf03ad	Märzenschnecke	de
alien-mollusca-checklist:taxon:691d816e96b0f17eb16385bf9ecf03ad	Zebraschnecke	de
alien-mollusca-checklist:taxon:691d816e96b0f17eb16385bf9ecf03ad	Weiße Turmschnecke	de
alien-mollusca-checklist:taxon:6d29214a267467f07437d66a1cdfbcc3	Bos-glimslak	nl
alien-mollusca-checklist:taxon:6d29214a267467f07437d66a1cdfbcc3	english: Quick gloss snail	en
alien-mollusca-checklist:taxon:6d29214a267467f07437d66a1cdfbcc3	german: Gewächshaus-Dolchschnecke	de
