language,license,rightsHolder,datasetID,institutionCode,datasetName,taxonID,acceptedNameUsageID,originalNameUsageID,scientificName,acceptedNameUsage,originalNameUsage,kingdom,phylum,class,order,family,genus,nomenclaturalCode,taxonomicStatus
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:2318917247314d7cb642d294b393df34,alien-mollusca-checklist:taxon:2318917247314d7cb642d294b393df34,alien-mollusca-checklist:taxon:bbfc826c73188dd8ea8aed53f9357717,"Striosubulina striatella (Rang, 1831)","Striosubulina striatella (Rang, 1831)","Helix striatella Rang, 1831",Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Subulinidae P. Fischer & Crosse, 1877","Striosubulina Thiele, 1933",ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:975a02ad362135b36d24c691aa7a83d9,alien-mollusca-checklist:taxon:975a02ad362135b36d24c691aa7a83d9,alien-mollusca-checklist:taxon:23258d1d3a2a87ce16298acd193609bd,"Tandonia budapestensis (Hazay, 1880)","Tandonia budapestensis (Hazay, 1880)","Amalia budapestensis Hazay, 1880",Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Milacidae Ellis, 1926","Tandonia Lessona & Pollonera, 1882",ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:b58a4fbf2481e23e725bc4100b953cc8,alien-mollusca-checklist:taxon:b58a4fbf2481e23e725bc4100b953cc8,alien-mollusca-checklist:taxon:7f77b6bea93fd642b998987b5180191d,"Tandonia sowerbyi (A. Férussac, 1823)","Tandonia sowerbyi (A. Férussac, 1823)","Limax sowerbyi A. Férussac, 1823",Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Milacidae Ellis, 1926","Tandonia Lessona & Pollonera, 1882",ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:f2ef505870d28353c0af74488e4f63d3,alien-mollusca-checklist:taxon:f2ef505870d28353c0af74488e4f63d3,,"Testacella haliotidea Draparnaud, 1801","Testacella haliotidea Draparnaud, 1801",,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Testacellidae Gray, 1840","Testacella Lamarck, 1801",ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:06528ea561737233003ecad5dab869a5,alien-mollusca-checklist:taxon:06528ea561737233003ecad5dab869a5,alien-mollusca-checklist:taxon:56a8a9b3b9b5b0d54fa277391e882f89,"Theba pisana (O.F. Müller, 1774)","Theba pisana (O.F. Müller, 1774)","Helix pisana O.F. Mûller, 1774",Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Helicidae Rafinesque, 1815","Theba Risso, 1826",ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab,alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab,alien-mollusca-checklist:taxon:0c8b047d01dced03b9221ee88e72b038,"Trochoidea elegans (Gmelin, 1791)","Trochoidea elegans (Gmelin, 1791)","Helix elegans Gmelin, 1791",Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Hygromiidae Tryon, 1866","Trochoidea T. Brown, 1827",ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:efc32aa8cb6f49901941f3c96ec75e78,alien-mollusca-checklist:taxon:efc32aa8cb6f49901941f3c96ec75e78,,"Xerosecta cespitum (Draparnaud, 1801)","Xerosecta cespitum (Draparnaud, 1801)",,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Geomitridae C.R. Boettger, 1909","Xerosecta Monterosato, 1892",ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:691d816e96b0f17eb16385bf9ecf03ad,alien-mollusca-checklist:taxon:691d816e96b0f17eb16385bf9ecf03ad,alien-mollusca-checklist:taxon:a3cd8082726027b35865b71ebb7fda7b,"Zebrina detrita (O.F. Müller, 1774)","Zebrina detrita (O.F. Müller, 1774)","Helix detrita O.F. Müller, 1774",Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Enidae B.B. Woodward, 1903","Zebrina Held, 1838",ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:6d29214a267467f07437d66a1cdfbcc3,alien-mollusca-checklist:taxon:6d29214a267467f07437d66a1cdfbcc3,alien-mollusca-checklist:taxon:5c1cb3a70612613c74792391e6c44c05,"Zonitoides arboreus (Say, 1817)","Zonitoides arboreus (Say, 1817)","Helix arborea Say, 1817",Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Gastrodontidae Tryon, 1866","Zonitoides Lehmann, 1862",ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:d14635cebc62259032b0eaf8e8f61803,alien-mollusca-checklist:taxon:81d4efabef9ab3e384dfe016ee69d01f,,"Bulimus clavulinus Potiez & Michaud, 1835","Allopeas clavulinum (Potiez & Michaud, 1835)",,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Subulinidae P. Fischer & Crosse, 1877","Allopeas H. B. Baker, 1935",ICZN,synonym
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:2929b2b3de5bcae7dbd4edccef8c53b0,alien-mollusca-checklist:taxon:81d4efabef9ab3e384dfe016ee69d01f,,"Allopeas clavulinus (Potiez & Michaud, 1835)","Allopeas clavulinum (Potiez & Michaud, 1835)",,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Subulinidae P. Fischer & Crosse, 1877","Allopeas H. B. Baker, 1935",ICZN,synonym
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:b5d69fdcef7e89040bcd10ecf2ba3519,alien-mollusca-checklist:taxon:81d4efabef9ab3e384dfe016ee69d01f,,"Allopeas mauritianus (L. Pfeiffer, 1852","Allopeas clavulinum (Potiez & Michaud, 1835)",,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Subulinidae P. Fischer & Crosse, 1877","Allopeas H. B. Baker, 1935",ICZN,synonym
