scientific_name,shortref,reference
"Tandonia budapestensis (Hazay, 1880)",De Wilde et al. (1986),"De Wilde, J.J., Marquet, R. & Van Goethem, J.L. 1986. Voorlopige atlas van de landslakken van België – Atlas provisoire des gastéropodes terrestres de la Belgique. – Published by the Royal Belgian Institute of Natural Sciences, Brussels, 285 pp."
"Tandonia budapestensis (Hazay, 1880)",Fechter & Falkner (1990),"Fechter, R. & Falkner, G. 1990. Steinbachs Naturführer – Weichtiere. München, Mosaik Verlag."
"Tandonia budapestensis (Hazay, 1880)",Frömming (1955),"Frömming, E. 1955. Ein neuer Kulturpflanzenschädling in Mitteleuropa: die Nacktschnecke Milax (Tandonia) budapestensis Hazay. – Anzeiger für Schädlingskunde 28: 42-46."
"Tandonia budapestensis (Hazay, 1880)",Moens (1959),"Moens, R. 1959. Milax budapestensis Hazay – Een gevaarlijke vijand van onze tuinbouwgewassen – Mededelingen van de Landbouwhogeschool en de Opzoekingsstations van de Staat te Gent 24: 662-670."
"Tandonia budapestensis (Hazay, 1880)",Moens (1962),"Moens, R. 1962. Recherches sur la limace souterraine Milax budapestensis Hazay. – XVI International Horticultural Congress, Brussels, Belgium, August 31 – September 8, reprint: 372-376."
"Tandonia sowerbyi (A. Férussac, 1823)",Moens (1981),"Moens, R. 1981. Le problème des limaces dans la protection des végétaux – Identification des espèces. – Agricontact 117: 1-6."
"Tandonia sowerbyi (A. Férussac, 1823)",Schouten (1949),"Schouten, A.R. 1949. Milax (Tandonia) sowerbii in Nederland. – Basteria 13: 45-54."
"Tandonia sowerbyi (A. Férussac, 1823)",Van Goethem (1988),"Van Goethem, J.L. 1988. Nouvelle liste commentée des mollusques récents non-marins de Belgique. – Documents de travail de l'IRScNB 53: 1-69."
"Testacella haliotidea Draparnaud, 1801",Adam (1947),"Adam, W. 1947. Révision des mollusques de la Belgique. I. Mollusques terrestres et dulcicoles. – Verhandelingen van het Koninklijk Natuurhistorisch Museum van België 106: 1-298."
"Testacella haliotidea Draparnaud, 1801",Anomymous (1864),Anonymous 1864. Séance du 4 septembre 1864. M. Colbeau rend compte d'une excursion faite aux environs de Dinant en août dernier. – Bulletins de la Société Malacologique de Belgique 1: LXV-LXVI.
"Testacella haliotidea Draparnaud, 1801",Colbeau (1859),"Colbeau, J. 1859. Matériaux pour la faune malacologique de Belgique. I. Liste des mollusques terrestres et fluviatiles de Belgique. – Brussels."
"Testacella haliotidea Draparnaud, 1801",Colbeau (1865),"Colbeau, J. 1865. Excursions et découvertes malacologiques faites en quelques localités de la Belgique pendant les années 1860-1865. – Annales de la Société Malacologique de Belgique 1: 23-120."
"Testacella haliotidea Draparnaud, 1801",Marquet (1982),"Marquet, R. 1982. Studie over de verspreiding en de ecologie van de Belgische landmollusken. – PhD thesis, University of Antwerp (UIA)."
"Testacella haliotidea Draparnaud, 1801",Rinaldi (2003),"Rinaldi, A.C. 2003. Note a proposito di Testacella Cuvier, 1800 (Gastropoda, Polmonata, Testacellidae). – La Conchiglia 35(309): 47-54."
"Testacella haliotidea Draparnaud, 1801",Van Goethem (1987),"Van Goethem, J.L. 1987. Nieuwe naamlijst met aantekeningen van de recente niet-mariene weekdieren van België. – Studiedocumenten van het KBIN 44: 1-65."
"Testacella haliotidea Draparnaud, 1801",Van Goethem (1988),"Van Goethem, J.L. 1988. Nouvelle liste commentée des mollusques récents non-marins de Belgique. – Documents de travail de l'IRScNB 53: 1-69."
"Theba pisana (O.F. Müller, 1774)",Adam (1947a),"Adam, W. 1947a. Notes sur les gastéropodes. XV. – Recherches sur la faune malacologique des dunes littorales de la Belgique. – Mededeelingen van het Koninklijk Natuurhistorisch Museum van België 23(27): 1-26."
"Theba pisana (O.F. Müller, 1774)",Adam (1947b),"Adam, W. 1947b. Révision des mollusques de la Belgique. I. Mollusques terrestres et dulcicoles. – Verhandelingen van het Koninklijk Natuurhistorisch Museum van België 106: 1-298."
"Theba pisana (O.F. Müller, 1774)",Adam & Leloup (1937),"Adam, W. & Leloup, E. 1937. Sur la présence de Helicella virgata (Da Costa) et Theba pisana (Müller) en Belgique. – Mededeelingen van het Koninklijk Natuurhistorisch Museum van België 13(10): 1-8."
"Theba pisana (O.F. Müller, 1774)",Anonymous (1867),Anonymous. 1867. Séance du 2 décembre 1866. M. Colbeau donne quelques détails sur ces mollusques d'Algérie qu'il a parqués en différents endroits. – Bulletins de la Société Malacologique de Belgique 2: XXXIV-XXXVI.
"Theba pisana (O.F. Müller, 1774)",Anonymous (1869),Anonymous. 1869. Séance du 2 mai 1869. Rapport. – M. Staes donne lecture du rapport suivant sur l'excursion faite à Nieuport par la Société. – Bulletins de la Société Malacologique de Belgique 4: XXIV-XL.
"Theba pisana (O.F. Müller, 1774)",Anteunis (1956),"Anteunis, A. 1956. Biosociologische studie van de Belgische zeeduinen – Verband tussen de plantengroei en de molluskenfauna. – Verhandelingen van de Koninklijke Vlaamse Academie voor Wetenschappen, Letteren en Schone Kunsten van België, Klasse der Wetenschappen, No. 54, 194 pp."
"Theba pisana (O.F. Müller, 1774)",Cucherat (2006),"Cucherat, X. 2006. Catalogue annoté des Gastéropodes terrestres (Mollusca, Gastropoda) de la région Nord – Pas-de-Calais. – MalaCo 2: 40-91."
"Theba pisana (O.F. Müller, 1774)",Deblock & Hoestlandt (1967),"Deblock, R. & Hoestlandt, H. 1967. Données biologiques sur le gastropode littoral Theba pisana Muller aux limites septentrionales de son extension. – Comptes Rendus Hebdomadaires des Séances de 1'Academie des Sciences, Série D: Sciences Naturelles 265: 893-896."
"Theba pisana (O.F. Müller, 1774)",De Smet & Van Rompu (1989),"De Smet, W.H. & Van Rompu, E.A. 1989. Survey of the distribution and shell polymorphism of Cochlicella acuta (Müller, 1774) and Theba pisana (Müller, 1774) (Pulmonata, Helicidae) along the Belgian coastal dune area. – Verhandelingen van het symposium ""Invertebraten van België"" (Published by the Royal Belgian Institute of Natural Sciences, Brussels), 119-124."
"Theba pisana (O.F. Müller, 1774)",Devriese et al. (2004),"Devriese, H., Vercoutere, B. & Van Loen, H. 2004. Hoofdstuk 018. Landslakken. In: Provoost, S. & Bonte, D. (Eds) Levende duinen: een overzicht van de biodiversiteit aan de Vlaamse kust. – Mededelingen van het Instituut voor Natuurbehoud 22: 345-365."
"Theba pisana (O.F. Müller, 1774)",De Wilde et al. (1986),"De Wilde, J.J., Marquet, R. & Van Goethem, J.L. 1986. Voorlopige atlas van de landslakken van België – Atlas provisoire des gastéropodes terrestres de la Belgique. – Published by the Royal Belgian Institute of Natural Sciences, Brussels, 285 pp."
"Theba pisana (O.F. Müller, 1774)",Dutertre (1927),"Dutertre, A. P. 1927. Esquisse biogéographique de l'estuaire de la Canche (Pas-de-Calais). – Comptes Rendus de la Société de Biogéographie 4 (28): 51-58."
"Theba pisana (O.F. Müller, 1774)",Hostie (1935),"Hostie, E. 1935. Helix pisana, Müll. en Belgique. – Les Naturalistes Belges 16: 24."
"Theba pisana (O.F. Müller, 1774)",Marquet (1985),"Marquet, R. 1985. The land molluscs of the Antwerp harbour area, with a new record of Cernuella cespitum (Draparnaud, 1801) for western Europe. – Basteria 49: 3-10."
"Theba pisana (O.F. Müller, 1774)",Severijns et al. (2013),"Severijns, N., Bauwens, F., De Blauwe, H. & Brinckman, S. 2013. Het Slak-in-Du project: een nieuwe inventarisatie van de mollusken in de duingebieden langs de Belgische Kust - 2012 Oostkust. – Gloria Maris 52: 154-171."
"Theba pisana (O.F. Müller, 1774)",Severijns et al. (2015),"Severijns, N., Dumoulin, E., Bauwens, F. & De Blauwe, H. 2015. Het Slak-in-Du project: een nieuwe inventarisatie van de mollusken in de duingebieden langs de Belgische Kust - 2013 Oostkust. – Gloria Maris 53: 111-154."
"Theba pisana (O.F. Müller, 1774)",Verhaeghe (1947),"Verhaeghe, R. 1947. Examen malacologique dans la région de La Panne. – Les Naturalistes Belges 28: 18-20."
"Trochoidea elegans (Gmelin, 1791)",Van Goethem et al. (1979),"Van Goethem, J.L., Muylaert, A. & Tavernier, W. 1979. Trochoidea elegans (Gmelin, 1790), een nieuwe soort landslak voor de Belgische fauna (Mollusca, Gastropoda, Helicidae). – Biologisch Jaarboek Dodonaea 47: 140-144."
"Xerosecta cespitum (Draparnaud, 1801)",Adam (1937),"Adam, W. 1937. Notes sur les gastéropodes. V. – Sur la découverte de Cochlostoma septemspirale (Razoumowsky, 1789) et Helicella cespitum (Draparnaud, 1801) en Belgique. – Mededeelingen van het Koninklijk Natuurhistorisch Museum van België 13(11): 1-4."
"Xerosecta cespitum (Draparnaud, 1801)",Adam (1943),"Adam, W. 1943. Notes sur les gastéropodes. XIII. – Sur quelques espèces nouvelles ou rares pour la Belgique. – Mededeelingen van het Koninklijk Natuurhistorisch Museum van België 19(11): 1-16."
"Xerosecta cespitum (Draparnaud, 1801)",Adam (1947),"Adam, W. 1947. Notes sur les gastéropodes. XV. – Recherches sur la faune malacologique des dunes littorales de la Belgique. – Mededeelingen van het Koninklijk Natuurhistorisch Museum van België 23(27): 1-27."
"Xerosecta cespitum (Draparnaud, 1801)",Adam (1960),"Adam, W. 1960. Faune de Belgique – Mollusques Tome I. Mollusques terrestres et dulcicoles. Bruxelles, Patrimoine de l'Institut royal des Sciences naturelles de Belgique."
"Xerosecta cespitum (Draparnaud, 1801)",Clerx & Gittenberger (1977),"Clerx, J.P.M. & Gittenberger, E. 1977. Einiges über Cernuella (Pulmonata, Helicidae) – Zoölogische Mededelingen, Leiden, 52: 27-56."
"Xerosecta cespitum (Draparnaud, 1801)",Marquet (1985),"Marquet, R. 1985. The land molluscs of the Antwerp harbour area, with a new record of Cernuella cespitum (Draparnaud, 1801) for western Europe. – Basteria 49: 3-10."
"Xerosecta cespitum (Draparnaud, 1801)",Van Goethem (1988),"Van Goethem, J.L. 1988. Nouvelle liste commentée des mollusques récents non-marins de Belgique. – Documents de travail de l'IRScNB 53: 1-69."
"Zebrina detrita (O.F. Müller, 1774)",Anonymous (1864),Anonymous 1864. Séance du 3 juillet 1864. – Bulletins de la Société Malacologique de Belgique 1: LXI-LXII.
"Zebrina detrita (O.F. Müller, 1774)",Colbeau (1865),"Colbeau, J. 1865. Excursions et découvertes malacologiques faites en quelques localités de la Belgique pendant les années 1860-1865. – Annales de la Société Malacologique de Belgique 1: 23-120."
"Zebrina detrita (O.F. Müller, 1774)",De Malzine (1867),"De Malzine, F. 1867. Essai sur la fauna malacologique de Belgique ou catalogue des mollusques qui se trouvent dans ce pays. – Bruxelles, Librairie Ancienne de G.-A. Van Trigt."
"Zebrina detrita (O.F. Müller, 1774)",Kickx (1830),"Kickx, J. 1830. Synopsis molluscorum Brabantiae. – Lovanii."
"Zonitoides arboreus (Say, 1817)",Keppens & Dhondt (2007),"Keppens, M. & Dhondt, K. 2007. De malacofauna van de tropische Victoriakas van de plantentuin van de universiteit Gent (België). – Gloria Maris 46: 29-40."
"Zonitoides arboreus (Say, 1817)",Moens (1979),"Moens, R. 1979. Le problème des limaces dans la protection des végétaux. – Agricontact 95: 1-6."
"Zonitoides arboreus (Say, 1817)",Moens (1980),"Moens, R. 1980. Le problème des limaces dans la protection des végétaux. – Revue de l'Agriculture 33: 117-132."
"Zonitoides arboreus (Say, 1817)",Van Goethem (1984a),"Van Goethem, J.L. 1984a. Lijst van de recente niet-mariene mollusken van België. – Studiedocumenten van het KBIN 16: 1-35."
"Zonitoides arboreus (Say, 1817)",Van Goethem (1984b),"Van Goethem, J.L. 1984b. Liste commentée des mollusques récents non-marins de Belgique. – Documents de travail de 1'IRScNB 17: 1-38."
"Zonitoides arboreus (Say, 1817)",Van Goethem (1987),"Van Goethem, J.L. 1987. Nieuwe naamlijst met aantekeningen van de recente niet-mariene weekdieren van België. – Studiedocumenten van het KBIN 44: 1-65."
"Zonitoides arboreus (Say, 1817)",Van Goethem (1988),"Van Goethem, J.L. 1988. Nouvelle liste commentée des mollusques récents non-marins de Belgique. – Documents de travail de l'IRScNB 53: 1-69."
