scientific_name,synonym,X3,X4
"Cernuella virgata (Da Costa, 1778)","Cernuella xalonica Servain, 1880",,
"Cochlicella acuta (O.F. Müller, 1774)","Cochlicella cochleaeformis Monterosato, 1892",,
"Cochlicella acuta (O.F. Müller, 1774)","Cochlicella cochleolina Monterosato, 1892",,
"Cochlicella acuta (O.F. Müller, 1774)","Cochlicella fasciatus Pennant, 1777",,
"Cochlicella acuta (O.F. Müller, 1774)","Cochlicella macella Monterosato, 1892",,
"Cochlicella acuta (O.F. Müller, 1774)","Cochlicella meridionalis Risso, 1826",,
"Cochlicella acuta (O.F. Müller, 1774)","Cochlicella pratensis Monterosato, 1892",,
"Cochlicella acuta (O.F. Müller, 1774)","Cochlicella procerula Monterosato, 1892",,
"Cochlicella acuta (O.F. Müller, 1774)","Cochlicella turricula Risso, 1826",,
"Cochlicella acuta (O.F. Müller, 1774)","Cochlicella turrita Menke, 1828",,
"Cochlicella barbara (Linnaeus, 1758)","Cochlicella bulimoides Moquin-Tandon, 1855",Cochlicella,"bulimoides Moquin-Tandon, 1855"
"Cochlicella barbara (Linnaeus, 1758)","Cochlicella ventricosus Draparnaud, 1801",Cochlicella,"ventricosus Draparnaud, 1801"
"Cochlicella barbara (Linnaeus, 1758)","Cochlicella ventrosus A. Férussac, 1821",Cochlicella,"ventrosus A. Férussac, 1821"
"Cochlostoma septemspirale (Razoumowsky, 1789)","Cochlostoma agardhi Pini, 1885",Cochlostoma,"agardhi Pini, 1885"
"Cochlostoma septemspirale (Razoumowsky, 1789)","Cochlostoma gardensis Pini, 1885",Cochlostoma,"gardensis Pini, 1885"
"Cochlostoma septemspirale (Razoumowsky, 1789)","Cochlostoma intermedius Pini, 1885",Cochlostoma,"intermedius Pini, 1885"
"Cochlostoma septemspirale (Razoumowsky, 1789)","Cochlostoma maculatum Draparnaud, 1805",Cochlostoma,"maculatum Draparnaud, 1805"
"Cochlostoma septemspirale (Razoumowsky, 1789)","Cochlostoma septemspiralis Razoumowsky, 1789",Cochlostoma,"septemspiralis Razoumowsky, 1789"
"Cochlostoma septemspirale (Razoumowsky, 1789)","Cochlostoma valsabbina Gredler, 1883",Cochlostoma,"valsabbina Gredler, 1883"
"Deroceras invadens Reise, Hutchinson, Schunack & Schlitt, 2011","Deroceras meridionale Reygrobellet, 1963",Deroceras,"meridionale Reygrobellet, 1963"
"Ferussacia folliculum (Schröter, 1784)","Ferussacia denarensis De Gregorio, 1896",Ferussacia,"denarensis De Gregorio, 1896"
"Ferussacia folliculum (Schröter, 1784)","Ferussacia elongata Monterosato, 1892",Ferussacia,"elongata Monterosato, 1892"
"Ferussacia folliculum (Schröter, 1784)","Ferussacia follicula Schröter, 1784 (erroneous spelling not used by Schröter, but used in about 30% of papers)",Ferussacia,"follicula Schröter, 1784 (erroneous spelling not used by Schröter, but used in about 30% of papers)"
"Ferussacia folliculum (Schröter, 1784)","Ferussacia folliculus Schröter, 1784 (erroneous spelling not used by Schröter, but used in about 70% of papers)",Ferussacia,"folliculus Schröter, 1784 (erroneous spelling not used by Schröter, but used in about 70% of papers)"
"Ferussacia folliculum (Schröter, 1784)","Ferussacia gronoviana Risso, 1826",Ferussacia,"gronoviana Risso, 1826"
"Ferussacia folliculum (Schröter, 1784)","Ferussacia lanceolata Bourguignat, 1864",Ferussacia,"lanceolata Bourguignat, 1864"
"Ferussacia folliculum (Schröter, 1784)","Ferussacia nebrodensis Benoit, 1862",Ferussacia,"nebrodensis Benoit, 1862"
"Ferussacia folliculum (Schröter, 1784)","Ferussacia regularis Bourguignat, 1860",Ferussacia,"regularis Bourguignat, 1860"
"Ferussacia folliculum (Schröter, 1784)","Ferussacia reissi Mousson, 1872",Ferussacia,"reissi Mousson, 1872"
"Ferussacia folliculum (Schröter, 1784)","Ferussacia vescoi Bourguignat, 1856",Ferussacia,"vescoi Bourguignat, 1856"
"Ferussacia folliculum (Schröter, 1784)","Ferussacia wollastoni R.B. Watson, 1877",Ferussacia,"wollastoni R.B. Watson, 1877"
"Gittenbergia sororcula (Benoit, 1859)","Gittenbergia aranea L. Pfeiffer, 1870",Gittenbergia,"aranea L. Pfeiffer, 1870"
"Gittenbergia sororcula (Benoit, 1859)","Gittenbergia astoma O. Boettger, 1909",Gittenbergia,"astoma O. Boettger, 1909"
"Gittenbergia sororcula (Benoit, 1859)","Gittenbergia pollinensis Westerlund, 1890",Gittenbergia,"pollinensis Westerlund, 1890"
"Hygromia cinctella (Draparnaud, 1801)","Hygromia chelydea Westerlund, 1889",Hygromia,"chelydea Westerlund, 1889"
"Hygromia cinctella (Draparnaud, 1801)","Hygromia ecarinata Paulucci, 1878",Hygromia,"ecarinata Paulucci, 1878"
"Hygromia cinctella (Draparnaud, 1801)","Hygromia interrupta Bonelli, 1872",Hygromia,"interrupta Bonelli, 1872"
"Massylaea vermiculata (O.F. Müller, 1774)","Massylaea concolor De Cristofori & Jan, 1832",Massylaea,"concolor De Cristofori & Jan, 1832"
"Massylaea vermiculata (O.F. Müller, 1774)","Massylaea figarolae Rensch, 1928",Massylaea,"figarolae Rensch, 1928"
"Massylaea vermiculata (O.F. Müller, 1774)","Massylaea lampedusae P. Hesse, 1920",Massylaea,"lampedusae P. Hesse, 1920"
"Massylaea vermiculata (O.F. Müller, 1774)","Massylaea linusae Calcara, 1846",Massylaea,"linusae Calcara, 1846"
"Massylaea vermiculata (O.F. Müller, 1774)","Massylaea linusiana Benoit, 1857",Massylaea,"linusiana Benoit, 1857"
"Massylaea vermiculata (O.F. Müller, 1774)","Massylaea minuta Issel, 1880",Massylaea,"minuta Issel, 1880"
"Massylaea vermiculata (O.F. Müller, 1774)","Massylaea pantensis Sacchi, 1955",Massylaea,"pantensis Sacchi, 1955"
"Massylaea vermiculata (O.F. Müller, 1774)","Massylaea pelagosana Westerlund, 1894",Massylaea,"pelagosana Westerlund, 1894"
"Massylaea vermiculata (O.F. Müller, 1774)","Massylaea protovermiculata Trechmann, 1938",Massylaea,"protovermiculata Trechmann, 1938"
"Massylaea vermiculata (O.F. Müller, 1774)","Massylaea sarcostomopsis Bofill & Aguilar-Amat, 1924",Massylaea,"sarcostomopsis Bofill & Aguilar-Amat, 1924"
"Massylaea vermiculata (O.F. Müller, 1774)","Massylaea solidior Monterosato, 1892",Massylaea,"solidior Monterosato, 1892"
"Massylaea vermiculata (O.F. Müller, 1774)","Massylaea thalassina A. & J.B. Villa, 1841",Massylaea,"thalassina A. & J.B. Villa, 1841"
"Massylaea vermiculata (O.F. Müller, 1774)","Massylaea ubangulata Issel, 1868",Massylaea,"ubangulata Issel, 1868"
"Massylaea vermiculata (O.F. Müller, 1774)","Massylaea umbilicata Castriota, 1899",Massylaea,"umbilicata Castriota, 1899"
"Massylaea vermiculata (O.F. Müller, 1774)","Massylaea usticensis Monterosato, 1892",Massylaea,"usticensis Monterosato, 1892"
"Paralaoma servilis (Shuttleworth, 1852)","Paralaoma Paralaoma caputspinulae (Reeve, 1852)",Paralaoma,"Paralaoma caputspinulae (Reeve, 1852)"
"Paralaoma servilis (Shuttleworth, 1852)","Paralaoma Paralaoma raoulensis Iredale, 1913",Paralaoma,"Paralaoma raoulensis Iredale, 1913"
"Paralaoma servilis (Shuttleworth, 1852)","Paralaoma Pleuropunctum micropleuros (J. Paget, 1854)",Paralaoma,"Pleuropunctum micropleuros (J. Paget, 1854)"
"Paralaoma servilis (Shuttleworth, 1852)","Paralaoma Punctum conspectum (Bland, 1865)",Paralaoma,"Punctum conspectum (Bland, 1865)"
"Paralaoma servilis (Shuttleworth, 1852)","Paralaoma Toltecia pusilla (Lowe, 1831)",Paralaoma,"Toltecia pusilla (Lowe, 1831)"
"Subulina striatella (Rang, 1831)","Subulina grandis Madge, 1938",Subulina,"grandis Madge, 1938"
"Subulina striatella (Rang, 1831)","Subulina petrensis Morelet, 1866",Subulina,"petrensis Morelet, 1866"
"Tandonia budapestensis (Hazay, 1880)","Tandonia cibiniensis M. Kimakowicz, 1884",Tandonia,"cibiniensis M. Kimakowicz, 1884"
"Tandonia budapestensis (Hazay, 1880)","Tandonia gracilis Leydig, 1876",Tandonia,"gracilis Leydig, 1876"
"Tandonia budapestensis (Hazay, 1880)","Tandonia valachicus Grossu & Lupu, 1961",Tandonia,"valachicus Grossu & Lupu, 1961"
"Tandonia sowerbyi (A. Férussac, 1823)","Tandonia agrillaceus Gassies, 1856",Tandonia,"agrillaceus Gassies, 1856"
"Tandonia sowerbyi (A. Férussac, 1823)","Tandonia barbarus J. Mabille, 1869",Tandonia,"barbarus J. Mabille, 1869"
"Tandonia sowerbyi (A. Férussac, 1823)","Tandonia carinatus Risso, 1826",Tandonia,"carinatus Risso, 1826"
"Tandonia sowerbyi (A. Férussac, 1823)","Tandonia casertanus Lessona & Pollonera, 1882",Tandonia,"casertanus Lessona & Pollonera, 1882"
"Tandonia sowerbyi (A. Férussac, 1823)","Tandonia collingei P. Hesse, 1926",Tandonia,"collingei P. Hesse, 1926"
"Tandonia sowerbyi (A. Férussac, 1823)","Tandonia etruscus Issel, 1868",Tandonia,"etruscus Issel, 1868"
"Tandonia sowerbyi (A. Férussac, 1823)","Tandonia fulva Paulucci, 1879",Tandonia,"fulva Paulucci, 1879"
"Tandonia sowerbyi (A. Férussac, 1823)","Tandonia hessei O. Boettger, 1882",Tandonia,"hessei O. Boettger, 1882"
"Tandonia sowerbyi (A. Férussac, 1823)","Tandonia insolutus Lessona & Pollonera, 1882",Tandonia,"insolutus Lessona & Pollonera, 1882"
"Tandonia sowerbyi (A. Férussac, 1823)","Tandonia kobelti P. Hesse, 1882",Tandonia,"kobelti P. Hesse, 1882"
"Tandonia sowerbyi (A. Férussac, 1823)","Tandonia maculata Collinge, 1895",Tandonia,"maculata Collinge, 1895"
"Tandonia sowerbyi (A. Férussac, 1823)","Tandonia mongianensis Paulucci, 1879",Tandonia,"mongianensis Paulucci, 1879"
"Tandonia sowerbyi (A. Férussac, 1823)","Tandonia oreteus Lessona & Pollonera, 1882",Tandonia,"oreteus Lessona & Pollonera, 1882"
"Tandonia sowerbyi (A. Férussac, 1823)","Tandonia palidissimus Lessona & Pollonera, 1882",Tandonia,"palidissimus Lessona & Pollonera, 1882"
"Tandonia sowerbyi (A. Férussac, 1823)","Tandonia pallidula Cockerell, 1890",Tandonia,"pallidula Cockerell, 1890"
"Tandonia sowerbyi (A. Férussac, 1823)","Tandonia pratensis Torres Mínguez, 1923",Tandonia,"pratensis Torres Mínguez, 1923"
"Tandonia sowerbyi (A. Férussac, 1823)","Tandonia tyrrena Lessona & Pollonera, 1882",Tandonia,"tyrrena Lessona & Pollonera, 1882"
"Testacella haliotidea Draparnaud, 1801","Testacella barcinonensis Pollonera, 1888",Testacella,"barcinonensis Pollonera, 1888"
"Testacella haliotidea Draparnaud, 1802","Testacella dubia Pollonera, 1888",Testacella,"dubia Pollonera, 1888"
"Testacella haliotidea Draparnaud, 1803","Testacella esserana Fagot, 1892",Testacella,"esserana Fagot, 1892"
"Testacella haliotidea Draparnaud, 1804","Testacella europaea Roissy, 1805",Testacella,"europaea Roissy, 1805"
"Testacella haliotidea Draparnaud, 1805","Testacella galliae Oken, 1815",Testacella,"galliae Oken, 1815"
